Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Engineered Knowledge Distillation ---
Epoch 8/100 | Batch 400/2366 | Soft KD Loss: 8.1777 | Hard Loss: 1.0969 | Total Loss: 4.6373 | LR: 0.000200
Epoch 8/100 | Batch 600/2366 | Soft KD Loss: 8.1588 | Hard Loss: 1.1039 | Total Loss: 4.6314 | LR: 0.000200
Epoch 8/100 | Batch 800/2366 | Soft KD Loss: 8.2506 | Hard Loss: 1.1621 | Total Loss: 4.7064 | LR: 0.000200
Epoch 8/100 | Batch 1000/2366 | Soft KD Loss: 8.3208 | Hard Loss: 1.2004 | Total Loss: 4.7606 | LR: 0.000200
Epoch 8/100 | Batch 1200/2366 | Soft KD Loss: 8.3185 | Hard Loss: 1.0566 | Total Loss: 4.6875 | LR: 0.000200
Epoch 8/100 | Batch 1400/2366 | Soft KD Loss: 8.3554 | Hard Loss: 1.1130 | Total Loss: 4.7342 | LR: 0.000200
Epoch 8/100 | Batch 1600/2366 | Soft KD Loss: 8.2310 | Hard Loss: 1.0957 | Total Loss: 4.6633 | LR: 0.000200
Epoch 8/100 | Batch 1800/2366 | Soft KD Loss: 8.2343 | Hard Loss: 1.0074 | Total Loss: 4.6209 | LR: 0.000200
Epoch 8/100 | Batch 2000/2366 | Soft KD Loss: 8.3098 | Hard Loss: 1.1124 | Total Loss: 4.7111 | LR: 0.000200
Epoch 8/100 | Batch 2200/2366 | Soft KD Loss: 8.3877 | Hard Loss: 1.0013 | Total Loss: 4.6945 | LR: 0.000200
====> Epoch 8 Average KD Loss: 4.6472 | LR: 0.000200
Epoch 9/100 | Batch 0/2366 | Soft KD Loss: 8.0544 | Hard Loss: 1.1262 | Total Loss: 4.5903 | LR: 0.000200
Epoch 9/100 | Batch 200/2366 | Soft KD Loss: 8.4360 | Hard Loss: 1.1187 | Total Loss: 4.7773 | LR: 0.000200
Epoch 9/100 | Batch 400/2366 | Soft KD Loss: 8.3166 | Hard Loss: 1.0761 | Total Loss: 4.6963 | LR: 0.000200
Epoch 9/100 | Batch 600/2366 | Soft KD Loss: 8.0465 | Hard Loss: 1.1498 | Total Loss: 4.5981 | LR: 0.000200
Epoch 9/100 | Batch 800/2366 | Soft KD Loss: 8.3369 | Hard Loss: 1.0949 | Total Loss: 4.7159 | LR: 0.000200
Epoch 9/100 | Batch 1000/2366 | Soft KD Loss: 8.0853 | Hard Loss: 1.1192 | Total Loss: 4.6022 | LR: 0.000200
Epoch 9/100 | Batch 1200/2366 | Soft KD Loss: 8.3748 | Hard Loss: 1.1473 | Total Loss: 4.7610 | LR: 0.000200
Epoch 9/100 | Batch 1400/2366 | Soft KD Loss: 8.0205 | Hard Loss: 1.0268 | Total Loss: 4.5236 | LR: 0.000200
