nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12
Parallelizing across 4 GPUs!

--- Starting Engineered Knowledge Distillation ---
/home/jay_agarwal_2022/.local/lib/python3.10/site-packages/torch/nn/modules/linear.py:134: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:330.)
  return F.linear(input, self.weight, self.bias)
Epoch 2/100 | Batch 6400/18922 | KD Loss: 4.9942 | Base Loss: 0.7238
Epoch 2/100 | Batch 6600/18922 | KD Loss: 5.1217 | Base Loss: 0.8391
Epoch 2/100 | Batch 6800/18922 | KD Loss: 4.9908 | Base Loss: 0.7433
Epoch 2/100 | Batch 7000/18922 | KD Loss: 4.9362 | Base Loss: 0.7026
Epoch 2/100 | Batch 7200/18922 | KD Loss: 5.2252 | Base Loss: 0.7294
Epoch 2/100 | Batch 7400/18922 | KD Loss: 5.3460 | Base Loss: 0.6805
Epoch 2/100 | Batch 7600/18922 | KD Loss: 5.1466 | Base Loss: 0.7523
Epoch 2/100 | Batch 7800/18922 | KD Loss: 4.8945 | Base Loss: 0.6372
Epoch 2/100 | Batch 8000/18922 | KD Loss: 4.9441 | Base Loss: 0.6723
Epoch 2/100 | Batch 8200/18922 | KD Loss: 5.1688 | Base Loss: 0.6795
Epoch 2/100 | Batch 8400/18922 | KD Loss: 5.1184 | Base Loss: 0.6311
Epoch 2/100 | Batch 8600/18922 | KD Loss: 5.3106 | Base Loss: 0.7518
Epoch 2/100 | Batch 8800/18922 | KD Loss: 5.0828 | Base Loss: 0.6147
Epoch 2/100 | Batch 9000/18922 | KD Loss: 5.0822 | Base Loss: 0.7756
Epoch 2/100 | Batch 9200/18922 | KD Loss: 4.7655 | Base Loss: 0.6405
Epoch 2/100 | Batch 9400/18922 | KD Loss: 5.8457 | Base Loss: 0.8376
Epoch 2/100 | Batch 9600/18922 | KD Loss: 5.1586 | Base Loss: 0.6656
Epoch 2/100 | Batch 9800/18922 | KD Loss: 4.9842 | Base Loss: 0.7901
Epoch 2/100 | Batch 10000/18922 | KD Loss: 5.0677 | Base Loss: 0.6577
Epoch 2/100 | Batch 10200/18922 | KD Loss: 4.9835 | Base Loss: 0.6638
Epoch 2/100 | Batch 10400/18922 | KD Loss: 5.0325 | Base Loss: 0.6932
Epoch 2/100 | Batch 10600/18922 | KD Loss: 5.0977 | Base Loss: 0.8212
Epoch 2/100 | Batch 10800/18922 | KD Loss: 5.4305 | Base Loss: 0.8098
Epoch 2/100 | Batch 11000/18922 | KD Loss: 4.6814 | Base Loss: 0.7019
Epoch 2/100 | Batch 11200/18922 | KD Loss: 5.0944 | Base Loss: 0.6381
Epoch 2/100 | Batch 11400/18922 | KD Loss: 5.3088 | Base Loss: 0.7805
Epoch 2/100 | Batch 11600/18922 | KD Loss: 4.9962 | Base Loss: 0.7401
Epoch 2/100 | Batch 11800/18922 | KD Loss: 4.8016 | Base Loss: 0.6213
Epoch 2/100 | Batch 12000/18922 | KD Loss: 5.3775 | Base Loss: 0.8356
Epoch 2/100 | Batch 12200/18922 | KD Loss: 5.4736 | Base Loss: 0.8666
Epoch 2/100 | Batch 12400/18922 | KD Loss: 5.0433 | Base Loss: 0.6261
Epoch 2/100 | Batch 12600/18922 | KD Loss: 5.0649 | Base Loss: 0.6616
Epoch 2/100 | Batch 12800/18922 | KD Loss: 4.6723 | Base Loss: 0.5898
Epoch 2/100 | Batch 13000/18922 | KD Loss: 5.4656 | Base Loss: 0.8375
Epoch 2/100 | Batch 13200/18922 | KD Loss: 5.3899 | Base Loss: 0.6971
Epoch 2/100 | Batch 13400/18922 | KD Loss: 5.2766 | Base Loss: 0.8230
Epoch 2/100 | Batch 13600/18922 | KD Loss: 5.1576 | Base Loss: 0.7315
Epoch 2/100 | Batch 13800/18922 | KD Loss: 5.5270 | Base Loss: 0.7789
Epoch 2/100 | Batch 14000/18922 | KD Loss: 5.2175 | Base Loss: 0.7411
Epoch 2/100 | Batch 14200/18922 | KD Loss: 5.2479 | Base Loss: 0.8378
Epoch 2/100 | Batch 14400/18922 | KD Loss: 5.1059 | Base Loss: 0.5750
Epoch 2/100 | Batch 14600/18922 | KD Loss: 5.1911 | Base Loss: 0.7287
Epoch 2/100 | Batch 14800/18922 | KD Loss: 5.2349 | Base Loss: 0.7339
Epoch 2/100 | Batch 15000/18922 | KD Loss: 5.5444 | Base Loss: 0.8516
Epoch 2/100 | Batch 15200/18922 | KD Loss: 4.7914 | Base Loss: 0.5661
Epoch 2/100 | Batch 15400/18922 | KD Loss: 5.3300 | Base Loss: 0.8985
Epoch 2/100 | Batch 15600/18922 | KD Loss: 4.9311 | Base Loss: 0.7271
Epoch 2/100 | Batch 15800/18922 | KD Loss: 5.2217 | Base Loss: 0.6351
Epoch 2/100 | Batch 16000/18922 | KD Loss: 4.8667 | Base Loss: 0.7946
Epoch 2/100 | Batch 16200/18922 | KD Loss: 5.5002 | Base Loss: 0.8028
Epoch 2/100 | Batch 16400/18922 | KD Loss: 5.1225 | Base Loss: 0.6862
Epoch 2/100 | Batch 16600/18922 | KD Loss: 4.8647 | Base Loss: 0.7390
Epoch 2/100 | Batch 16800/18922 | KD Loss: 4.8901 | Base Loss: 0.7069
Epoch 2/100 | Batch 17000/18922 | KD Loss: 5.1819 | Base Loss: 0.6902
Epoch 2/100 | Batch 17200/18922 | KD Loss: 5.2869 | Base Loss: 0.7493
Epoch 2/100 | Batch 17400/18922 | KD Loss: 5.7832 | Base Loss: 0.8622
Epoch 2/100 | Batch 17600/18922 | KD Loss: 4.9680 | Base Loss: 0.6598
Epoch 2/100 | Batch 17800/18922 | KD Loss: 5.5115 | Base Loss: 0.7625
Epoch 2/100 | Batch 18000/18922 | KD Loss: 5.4112 | Base Loss: 0.8177
Epoch 2/100 | Batch 18200/18922 | KD Loss: 5.2659 | Base Loss: 0.7632
Epoch 2/100 | Batch 18400/18922 | KD Loss: 5.0559 | Base Loss: 0.6477
Epoch 2/100 | Batch 18600/18922 | KD Loss: 4.9088 | Base Loss: 0.6570
Epoch 2/100 | Batch 18800/18922 | KD Loss: 5.1554 | Base Loss: 0.6500
====> Epoch 2 Average KD Loss: 5.1792 | LR: 0.000200
Epoch 3/100 | Batch 0/18922 | KD Loss: 5.1992 | Base Loss: 0.7409
Epoch 3/100 | Batch 200/18922 | KD Loss: 5.0140 | Base Loss: 0.6815
Epoch 3/100 | Batch 400/18922 | KD Loss: 5.2952 | Base Loss: 0.5757
Epoch 3/100 | Batch 600/18922 | KD Loss: 5.0310 | Base Loss: 0.7029
Epoch 3/100 | Batch 800/18922 | KD Loss: 5.4146 | Base Loss: 0.6956
Epoch 3/100 | Batch 1000/18922 | KD Loss: 5.1201 | Base Loss: 0.7078
Epoch 3/100 | Batch 1200/18922 | KD Loss: 5.0866 | Base Loss: 0.8669
Epoch 3/100 | Batch 1400/18922 | KD Loss: 4.7419 | Base Loss: 0.7602
Epoch 3/100 | Batch 1600/18922 | KD Loss: 5.3495 | Base Loss: 0.8295
Epoch 3/100 | Batch 1800/18922 | KD Loss: 5.3003 | Base Loss: 0.6778
Epoch 3/100 | Batch 2000/18922 | KD Loss: 4.9046 | Base Loss: 0.6055
Epoch 3/100 | Batch 2200/18922 | KD Loss: 5.2721 | Base Loss: 0.6847
Epoch 3/100 | Batch 2400/18922 | KD Loss: 5.2777 | Base Loss: 0.6905
Epoch 3/100 | Batch 2600/18922 | KD Loss: 4.6946 | Base Loss: 0.6994
Epoch 3/100 | Batch 2800/18922 | KD Loss: 5.4023 | Base Loss: 0.8333
Epoch 3/100 | Batch 3000/18922 | KD Loss: 5.0878 | Base Loss: 0.7565
Epoch 3/100 | Batch 3200/18922 | KD Loss: 5.3983 | Base Loss: 0.6997
Epoch 3/100 | Batch 3400/18922 | KD Loss: 5.4027 | Base Loss: 0.8715
Epoch 3/100 | Batch 3600/18922 | KD Loss: 5.1527 | Base Loss: 0.8320
Epoch 3/100 | Batch 3800/18922 | KD Loss: 5.0194 | Base Loss: 0.6903
Epoch 3/100 | Batch 4000/18922 | KD Loss: 5.2583 | Base Loss: 0.8145
Epoch 3/100 | Batch 4200/18922 | KD Loss: 4.8514 | Base Loss: 0.7688
Epoch 3/100 | Batch 4400/18922 | KD Loss: 5.0277 | Base Loss: 0.5602
Epoch 3/100 | Batch 4600/18922 | KD Loss: 5.5134 | Base Loss: 0.8721
Epoch 3/100 | Batch 4800/18922 | KD Loss: 4.9452 | Base Loss: 0.7310
Epoch 3/100 | Batch 5000/18922 | KD Loss: 5.2793 | Base Loss: 0.8222
Epoch 3/100 | Batch 5200/18922 | KD Loss: 4.8836 | Base Loss: 0.7882
Epoch 3/100 | Batch 5400/18922 | KD Loss: 5.3604 | Base Loss: 0.7820
Epoch 3/100 | Batch 5600/18922 | KD Loss: 4.9100 | Base Loss: 0.6414
Epoch 3/100 | Batch 5800/18922 | KD Loss: 5.0616 | Base Loss: 0.8031
Epoch 3/100 | Batch 6000/18922 | KD Loss: 5.0472 | Base Loss: 0.7388
Epoch 3/100 | Batch 6200/18922 | KD Loss: 5.1533 | Base Loss: 0.7807
Epoch 3/100 | Batch 6400/18922 | KD Loss: 5.2187 | Base Loss: 0.7073
Epoch 3/100 | Batch 6600/18922 | KD Loss: 4.7464 | Base Loss: 0.6439
Epoch 3/100 | Batch 6800/18922 | KD Loss: 5.5896 | Base Loss: 0.6470
Epoch 3/100 | Batch 7000/18922 | KD Loss: 5.0672 | Base Loss: 0.7034
